ID,recency,frequency,monetary,r_score,f_score,m_score,segment
10826,77,4,60,2,1,2,Hibernating
8754,25,3,20,4,1,1,New / Promising
1987,34,5,59,4,1,2,New / Promising
11007,43,4,34,3,1,1,Needs Attention
7426,76,9,198,2,3,3,Hibernating
9153,81,25,1048,1,5,4,At Risk
10379,87,16,574,1,4,3,At Risk
9204,33,13,1029,4,3,4,Loyal
3197,38,18,670,4,4,4,Champions
2920,63,14,990,2,3,4,Can't Lose Them
6961,26,3,11,4,1,1,New / Promising
4673,17,18,1241,5,4,5,Champions
9937,75,16,576,2,4,3,At Risk
8779,13,8,172,5,2,2,New / Promising
9596,19,19,664,5,4,4,Champions
2891,51,21,928,3,5,4,Needs Attention
4910,81,29,2074,1,5,5,At Risk
75,32,14,467,4,3,3,Loyal
10120,84,10,257,1,3,3,Hibernating
6327,87,16,1146,1,4,4,At Risk
10142,99,18,689,1,4,4,At Risk
9826,96,21,2114,1,5,5,At Risk
1501,21,29,1717,4,5,5,Champions
10767,40,20,1346,3,4,5,Needs Attention
7279,3,14,1044,5,3,4,Loyal
7230,98,16,493,1,4,3,At Risk
143,73,12,957,2,3,4,Can't Lose Them
450,90,9,270,1,3,3,Hibernating
9316,29,4,29,4,1,1,New / Promising
6379,3,6,121,5,2,2,New / Promising
9239,94,7,126,1,2,2,Hibernating
8315,65,3,23,2,1,1,Hibernating
2868,33,5,57,4,1,2,New / Promising
10888,46,18,636,3,4,4,Needs Attention
1277,29,27,1004,4,5,4,Champions
9977,99,17,734,1,4,4,At Risk
10196,26,18,614,4,4,3,Loyal
6384,30,18,1453,4,4,5,Champions
8029,27,14,1621,4,3,5,Loyal
968,24,9,187,4,3,2,Loyal
6988,93,20,1443,1,5,5,At Risk
4472,34,5,57,4,1,2,New / Promising
6991,88,18,637,1,4,4,At Risk
3336,96,11,948,1,3,4,Can't Lose Them
4301,10,4,59,5,1,2,New / Promising
1940,26,3,18,4,1,1,New / Promising
1272,49,22,903,3,5,4,Needs Attention
1388,11,6,112,5,2,2,New / Promising
1044,44,17,596,3,4,3,Needs Attention
6969,75,10,233,2,3,3,Hibernating
10479,64,10,1511,2,3,5,Can't Lose Them
3619,19,16,1152,5,4,4,Champions
1715,45,5,48,3,1,1,Needs Attention
10159,77,25,1185,2,5,5,At Risk
1463,9,3,21,5,1,1,New / Promising
5114,1,14,965,5,3,4,Loyal
4990,90,20,869,1,5,4,At Risk
4329,43,4,16,3,1,1,Needs Attention
10936,79,15,1947,2,3,5,Can't Lose Them
4692,19,7,71,5,2,2,New / Promising
7212,99,5,65,1,1,2,Hibernating
6086,62,23,1380,2,5,5,At Risk
437,41,22,1027,3,5,4,Needs Attention
11171,60,14,411,2,3,3,Hibernating
11101,17,25,836,5,5,4,Champions
5329,24,3,11,4,1,1,New / Promising
610,60,15,480,2,3,3,Hibernating
9384,57,16,606,3,4,3,Needs Attention
5956,74,11,284,2,3,3,Hibernating
10430,22,11,1472,4,3,5,Loyal
7875,46,25,1677,3,5,5,Needs Attention
7072,69,17,1335,2,4,5,At Risk
6255,29,12,334,4,3,3,Loyal
6516,37,3,18,4,1,1,New / Promising
5564,26,18,1338,4,4,5,Champions
5682,8,26,1099,5,5,4,Champions
7458,26,6,97,4,2,2,New / Promising
5237,79,6,63,2,2,2,Hibernating
7761,71,7,109,2,2,2,Hibernating
5278,83,20,902,1,5,4,At Risk
3560,57,19,1574,3,4,5,Needs Attention
7235,37,6,38,4,2,1,New / Promising
10548,30,23,960,4,5,4,Champions
2281,34,3,28,4,1,1,New / Promising
4073,0,27,1215,5,5,5,Champions
6974,89,21,1497,1,5,5,At Risk
7938,92,15,449,1,3,3,Hibernating
7094,87,23,1064,1,5,4,At Risk
3667,20,24,1757,4,5,5,Champions
7723,56,20,1440,3,5,5,Needs Attention
3870,28,23,1006,4,5,4,Champions
4012,55,18,1226,3,4,5,Needs Attention
5909,25,15,1171,4,3,4,Loyal
10470,0,6,92,5,2,2,New / Promising
6488,86,7,99,1,2,2,Hibernating
10270,8,6,66,5,2,2,New / Promising
6887,33,17,564,4,4,3,Loyal
6406,13,20,1427,5,5,5,Champions
7573,12,5,86,5,1,2,New / Promising
4508,92,18,833,1,4,4,At Risk
221,90,9,242,1,3,3,Hibernating
5331,8,16,1869,5,4,5,Champions
1911,6,28,1364,5,5,5,Champions
20,91,7,183,1,2,2,Hibernating
8786,52,14,450,3,3,3,Needs Attention
10582,3,19,758,5,4,4,Champions
1915,57,19,1507,3,4,5,Needs Attention
8897,9,17,654,5,4,4,Champions
2371,22,6,81,4,2,2,New / Promising
4303,76,1,137,2,1,2,Hibernating
6825,86,3,16,1,1,1,Hibernating
1072,64,6,93,2,2,2,Hibernating
4964,90,17,1158,1,4,4,At Risk
2461,79,4,43,2,1,1,Hibernating
10736,28,20,1525,4,5,5,Champions
3194,86,18,1230,1,4,5,At Risk
10839,42,4,29,3,1,1,Needs Attention
49,39,4,25,4,1,1,New / Promising
4290,8,3,24,5,1,1,New / Promising
10219,40,4,38,3,1,1,Needs Attention
4211,5,5,57,5,1,2,New / Promising
1135,96,7,47,1,2,1,Hibernating
6299,28,18,813,4,4,4,Champions
10846,22,16,629,4,4,3,Loyal
347,30,13,377,4,3,3,Loyal
6543,45,13,1612,3,3,5,Needs Attention
10446,58,16,729,3,4,4,Needs Attention
3479,49,5,50,3,1,1,Needs Attention
11075,37,11,270,4,3,3,Loyal
4442,70,7,177,2,2,2,Hibernating
199,33,12,315,4,3,3,Loyal
6722,98,20,767,1,5,4,At Risk
796,17,23,1071,5,5,4,Champions
3749,54,23,1580,3,5,5,Needs Attention
8523,39,7,60,4,2,2,New / Promising
310,81,17,573,1,4,3,At Risk
8629,71,4,41,2,1,1,Hibernating
236,62,7,170,2,2,2,Hibernating
9930,8,27,1167,5,5,4,Champions
3483,76,22,1526,2,5,5,At Risk
4599,66,15,458,2,3,3,Hibernating
7326,83,5,63,1,1,2,Hibernating
7352,28,13,405,4,3,3,Loyal
2350,87,13,1027,1,3,4,Can't Lose Them
9145,43,20,1478,3,5,5,Needs Attention
2964,0,4,72,5,1,2,New / Promising
5585,1,5,48,5,1,1,New / Promising
9687,1,15,726,5,4,4,Champions
3732,72,21,860,2,5,4,At Risk
6303,72,22,1497,2,5,5,At Risk
11176,12,16,495,5,4,3,Loyal
2986,89,3,20,1,1,1,Hibernating
7462,67,16,570,2,4,3,At Risk
3900,54,20,769,3,5,4,Needs Attention
7034,34,5,55,4,1,1,New / Promising
9493,15,17,1808,5,4,5,Champions
1143,43,5,55,3,1,1,Needs Attention
1,0,17,577,5,4,3,Loyal
3855,74,7,162,2,2,2,Hibernating
5536,61,19,1957,2,4,5,At Risk
5989,51,23,1576,3,5,5,Needs Attention
9499,97,14,1616,1,3,5,Can't Lose Them
6768,75,4,36,2,1,1,Hibernating
2150,83,21,1482,1,5,5,At Risk
6646,23,4,22,4,1,1,New / Promising
4887,65,5,63,2,1,2,Hibernating
8560,94,17,680,1,4,4,At Risk
3321,42,17,542,3,4,3,Needs Attention
11003,10,5,50,5,1,1,New / Promising
10402,94,4,39,1,1,1,Hibernating
9904,50,23,1043,3,5,4,Needs Attention
6141,46,12,385,3,3,3,Needs Attention
5687,98,26,1633,1,5,5,At Risk
10856,42,4,46,3,1,1,Needs Attention
5121,30,18,761,4,4,4,Champions
4186,11,6,76,5,2,2,New / Promising
368,61,11,290,2,3,3,Hibernating
3312,12,7,89,5,2,2,New / Promising
11121,76,7,70,2,2,2,Hibernating
5332,2,16,1066,5,4,4,Champions
5848,43,18,2009,3,4,5,Needs Attention
10343,27,17,1345,4,4,5,Champions
5935,60,20,764,2,5,4,At Risk
2895,79,9,195,2,3,3,Hibernating
10262,96,7,53,1,2,1,Hibernating
7848,17,11,368,5,3,3,Loyal
9477,0,17,544,5,4,3,Loyal
4856,38,24,1853,4,5,5,Champions
7186,43,4,35,3,1,1,Needs Attention
5794,1,15,446,5,4,3,Loyal
1456,25,24,1180,4,5,5,Champions
4877,2,4,41,5,1,1,New / Promising
425,66,19,727,2,4,4,At Risk
3007,49,4,40,3,1,1,Needs Attention
1031,5,25,1062,5,5,4,Champions
4297,71,5,40,2,1,1,Hibernating
807,35,11,292,4,3,3,Loyal
9553,94,3,15,1,1,1,Hibernating
4271,80,11,341,1,3,3,Hibernating
4120,61,11,369,2,3,3,Hibernating
2036,29,14,401,4,3,3,Loyal
115,0,14,393,5,3,3,Loyal
4259,80,3,10,1,1,1,Hibernating
8687,54,13,486,3,3,3,Needs Attention
2447,71,5,69,2,1,2,Hibernating
10140,27,16,1727,4,4,5,Champions
9353,61,14,995,2,3,4,Can't Lose Them
3623,55,7,45,3,2,1,Needs Attention
738,35,8,182,4,2,2,New / Promising
7631,34,22,989,4,5,4,Champions
4789,95,17,1677,1,4,5,At Risk
773,64,16,595,2,4,3,At Risk
10602,30,7,156,4,2,2,New / Promising
1446,12,27,1226,5,5,5,Champions
3270,96,7,128,1,2,2,Hibernating
8443,16,6,86,5,2,2,New / Promising
9653,16,5,68,5,1,2,New / Promising
8916,78,3,16,2,1,1,Hibernating
8017,83,5,55,1,1,1,Hibernating
5830,96,21,2114,1,5,5,At Risk
4597,67,18,2018,2,4,5,At Risk
7023,87,11,263,1,3,3,Hibernating
8086,34,5,55,4,1,1,New / Promising
8825,46,16,564,3,4,3,Needs Attention
2930,7,18,1281,5,4,5,Champions
1928,73,5,83,2,1,2,Hibernating
7108,54,12,353,3,3,3,Needs Attention
10925,93,24,1003,1,5,4,At Risk
9960,52,3,14,3,1,1,Needs Attention
8800,53,22,902,3,5,4,Needs Attention
9224,81,23,1139,1,5,4,At Risk
5519,8,19,797,5,4,4,Champions
5046,97,23,1638,1,5,5,At Risk
7037,50,14,401,3,3,3,Needs Attention
905,38,7,84,4,2,2,New / Promising
8624,61,17,928,2,4,4,At Risk
8945,46,9,203,3,3,3,Needs Attention
6445,73,15,858,2,4,4,At Risk
2727,19,12,409,5,3,3,Loyal
6404,10,11,282,5,3,3,Loyal
11074,94,17,1423,1,4,5,At Risk
10150,10,18,1449,5,4,5,Champions
1968,37,3,28,4,1,1,New / Promising
6534,94,5,67,1,1,2,Hibernating
9485,23,9,199,4,3,3,Loyal
7053,75,21,1453,2,5,5,At Risk
4654,40,18,1253,3,4,5,Needs Attention
9760,24,25,1198,4,5,5,Champions
1048,11,8,178,5,2,2,New / Promising
10619,29,17,1990,4,4,5,Champions
9308,51,13,976,3,3,4,Needs Attention
10505,86,14,1001,1,3,4,Can't Lose Them
8362,9,19,1919,5,4,5,Champions
2625,30,12,350,4,3,3,Loyal
4637,73,24,1650,2,5,5,At Risk
9972,25,4,46,4,1,1,New / Promising
4483,67,18,1228,2,4,5,At Risk
4487,67,6,95,2,2,2,Hibernating
4988,58,6,62,3,2,2,Needs Attention
8931,82,25,1761,1,5,5,At Risk
5871,98,13,467,1,3,3,Hibernating
2008,93,18,1149,1,4,4,At Risk
3139,53,18,2052,3,4,5,Needs Attention
10037,66,15,1127,2,4,4,At Risk
10673,6,20,1416,5,5,5,Champions
5303,42,19,1113,3,4,4,Needs Attention
538,78,6,125,2,2,2,Hibernating
7922,29,23,966,4,5,4,Champions
5692,82,4,32,1,1,1,Hibernating
4843,92,18,833,1,4,4,At Risk
6383,78,6,46,2,2,1,Hibernating
1628,54,16,960,3,4,4,Needs Attention
1204,45,27,1829,3,5,5,Needs Attention
3673,59,23,779,2,5,4,At Risk
760,8,21,811,5,5,4,Champions
8957,51,14,1120,3,3,4,Needs Attention
4128,51,18,725,3,4,4,Needs Attention
6810,76,11,1187,2,3,5,Can't Lose Them
5386,62,18,2302,2,4,5,At Risk
8700,86,6,66,1,2,2,Hibernating
3202,60,18,1250,2,4,5,At Risk
1328,56,17,683,3,4,4,Needs Attention
8405,83,11,305,1,3,3,Hibernating
6515,92,5,50,1,1,1,Hibernating
2882,31,14,995,4,3,4,Loyal
7574,80,5,41,1,1,1,Hibernating
6387,39,6,77,4,2,2,New / Promising
5320,20,8,171,4,2,2,New / Promising
5048,53,6,131,3,2,2,Needs Attention
8146,84,4,54,1,1,1,Hibernating
10031,50,7,53,3,2,1,Needs Attention
5748,96,13,475,1,3,3,Hibernating
2134,94,18,694,1,4,4,At Risk
1523,25,6,96,4,2,2,New / Promising
9665,48,12,361,3,3,3,Needs Attention
4640,65,24,1079,2,5,4,At Risk
3635,69,17,578,2,4,3,At Risk
3547,12,5,64,5,1,2,New / Promising
2456,84,8,149,1,2,2,Hibernating
5633,47,10,231,3,3,3,Needs Attention
7801,87,18,728,1,4,4,At Risk
10489,35,22,1778,4,5,5,Champions
7011,47,7,93,3,2,2,Needs Attention
2620,48,3,23,3,1,1,Needs Attention
3933,46,18,662,3,4,4,Needs Attention
10981,27,17,1198,4,4,5,Champions
1734,37,7,81,4,2,2,New / Promising
10995,8,7,92,5,2,2,New / Promising
6357,29,15,491,4,4,3,Loyal
9209,85,23,1564,1,5,5,At Risk
10286,2,23,926,5,5,4,Champions
2611,66,18,1910,2,4,5,At Risk
1600,60,14,411,2,3,3,Hibernating
3308,54,6,94,3,2,2,Needs Attention
5407,70,23,1085,2,5,4,At Risk
2166,55,3,23,3,1,1,Needs Attention
3955,20,0,6,4,1,1,New / Promising
6634,78,5,54,2,1,1,Hibernating
3056,63,26,1150,2,5,4,At Risk
5718,17,22,1415,5,5,5,Champions
6872,43,14,405,3,3,3,Needs Attention
8164,13,18,1908,5,4,5,Champions
4580,46,25,2486,3,5,5,Needs Attention
9305,65,26,1315,2,5,5,At Risk
453,1,5,45,5,1,1,New / Promising
8545,6,16,1789,5,4,5,Champions
9850,32,3,19,4,1,1,New / Promising
7378,34,17,573,4,4,3,Loyal
7646,70,20,805,2,5,4,At Risk
1640,49,6,108,3,2,2,Needs Attention
5184,65,3,23,2,1,1,Hibernating
8492,25,22,1493,4,5,5,Champions
11188,84,6,89,1,2,2,Hibernating
1212,7,22,936,5,5,4,Champions
9097,34,12,343,4,3,3,Loyal
10473,38,19,528,4,4,3,Loyal
7962,1,11,1901,5,3,5,Loyal
9984,25,17,724,4,4,4,Champions
5527,25,5,58,4,1,2,New / Promising
6374,50,11,297,3,3,3,Needs Attention
7453,46,15,488,3,4,3,Needs Attention
8952,96,21,859,1,5,4,At Risk
241,57,19,1574,3,4,5,Needs Attention
8975,47,6,69,3,2,2,Needs Attention
6119,52,3,17,3,1,1,Needs Attention
5236,30,20,2194,4,5,5,Champions
5723,63,7,116,2,2,2,Hibernating
1710,51,11,279,3,3,3,Needs Attention
1970,14,6,103,5,2,2,New / Promising
5313,20,6,44,4,2,1,New / Promising
10634,56,14,406,3,3,3,Needs Attention
7010,41,19,1363,3,4,5,Needs Attention
8562,72,10,236,2,3,3,Hibernating
3158,1,4,39,5,1,1,New / Promising
4436,27,7,137,4,2,2,New / Promising
5287,77,7,79,2,2,2,Hibernating
2445,87,5,63,1,1,2,Hibernating
6059,81,18,1314,1,4,5,At Risk
4550,51,5,71,3,1,2,Needs Attention
4240,79,5,58,2,1,2,Hibernating
8911,11,18,702,5,4,4,Champions
3706,54,6,94,3,2,2,Needs Attention
3628,93,5,80,1,1,2,Hibernating
10175,0,4,22,5,1,1,New / Promising
8985,54,27,1211,3,5,5,Needs Attention
5204,21,21,1461,4,5,5,Champions
9220,58,19,1968,3,4,5,Needs Attention
9888,3,15,1091,5,4,4,Champions
5263,99,4,55,1,1,1,Hibernating
1020,70,18,1366,2,4,5,At Risk
9503,65,11,313,2,3,3,Hibernating
10613,44,7,62,3,2,2,Needs Attention
67,6,6,92,5,2,2,New / Promising
6019,9,5,72,5,1,2,New / Promising
5863,95,17,655,1,4,4,At Risk
3717,70,16,704,2,4,4,At Risk
6730,92,5,54,1,1,1,Hibernating
10749,62,1,178,2,1,2,Hibernating
4998,85,13,1033,1,3,4,Can't Lose Them
6287,2,4,36,5,1,1,New / Promising
5985,0,7,122,5,2,2,New / Promising
4754,91,6,122,1,2,2,Hibernating
4002,3,26,1123,5,5,4,Champions
8870,68,12,497,2,3,3,Hibernating
966,98,19,691,1,4,4,At Risk
4767,41,19,1363,3,4,5,Needs Attention
9725,16,3,12,5,1,1,New / Promising
4475,82,24,2440,1,5,5,At Risk
5740,1,5,56,5,1,2,New / Promising
5731,64,4,37,2,1,1,Hibernating
7290,68,20,968,2,5,4,At Risk
3846,98,11,270,1,3,3,Hibernating
8104,32,11,278,4,3,3,Loyal
4507,87,21,1250,1,5,5,At Risk
11013,84,16,938,1,4,4,At Risk
4491,3,17,1178,5,4,5,Champions
3759,34,24,1155,4,5,4,Champions
1162,23,18,653,4,4,4,Champions
2055,37,4,49,4,1,1,New / Promising
10766,22,16,506,4,4,3,Loyal
4415,19,5,38,5,1,1,New / Promising
3005,7,22,1650,5,5,5,Champions
2223,52,25,1826,3,5,5,Needs Attention
4817,91,3,18,1,1,1,Hibernating
2875,93,23,906,1,5,4,At Risk
10536,78,6,46,2,2,1,Hibernating
11112,23,19,1477,4,4,5,Champions
3807,83,20,766,1,5,4,At Risk
9197,92,5,47,1,1,1,Hibernating
10832,4,13,467,5,3,3,Loyal
6421,32,20,2116,4,5,5,Champions
4207,27,24,1298,4,5,5,Champions
577,10,4,22,5,1,1,New / Promising
10855,9,13,396,5,3,3,Loyal
3081,65,3,20,2,1,1,Hibernating
3535,68,12,967,2,3,4,Can't Lose Them
247,16,13,357,5,3,3,Loyal
8707,12,15,1401,5,4,5,Champions
9523,95,3,15,1,1,1,Hibernating
6072,16,19,2087,5,4,5,Champions
6295,46,22,981,3,5,4,Needs Attention
10914,3,4,17,5,1,1,New / Promising
1509,80,22,523,1,5,3,At Risk
5577,77,3,23,2,1,1,Hibernating
7348,0,16,1192,5,4,5,Champions
1127,62,19,1958,2,4,5,At Risk
1833,91,7,133,1,2,2,Hibernating
4944,24,16,777,4,4,4,Champions
9080,2,6,73,5,2,2,New / Promising
6466,22,7,121,4,2,2,New / Promising
9964,56,14,424,3,3,3,Needs Attention
4790,54,12,868,3,3,4,Needs Attention
10245,71,14,756,2,3,4,Can't Lose Them
1109,38,3,12,4,1,1,New / Promising
6001,62,23,937,2,5,4,At Risk
5538,78,17,1862,2,4,5,At Risk
10552,18,12,367,5,3,3,Loyal
1545,95,14,443,1,3,3,Hibernating
7409,66,11,267,2,3,3,Hibernating
4444,28,5,61,4,1,2,New / Promising
146,78,20,1323,2,5,5,At Risk
6271,13,5,63,5,1,2,New / Promising
10065,27,6,64,4,2,2,New / Promising
4741,17,17,562,5,4,3,Loyal
246,71,12,312,2,3,3,Hibernating
375,79,15,1156,2,4,4,At Risk
1524,1,15,1104,5,4,4,Champions
10022,78,3,16,2,1,1,Hibernating
7451,23,19,2008,4,4,5,Champions
11010,75,6,44,2,2,1,Hibernating
4356,70,11,1574,2,3,5,Can't Lose Them
3885,10,4,63,5,1,2,New / Promising
1175,24,11,426,4,3,3,Loyal
880,47,5,96,3,1,2,Needs Attention
2320,98,18,635,1,4,3,At Risk
850,4,20,757,5,5,4,Champions
4713,15,7,125,5,2,2,New / Promising
675,67,11,332,2,3,3,Hibernating
5025,32,7,135,4,2,2,New / Promising
2308,40,12,330,3,3,3,Needs Attention
5995,54,13,384,3,3,3,Needs Attention
6749,78,14,1722,2,3,5,Can't Lose Them
1010,94,5,78,1,1,2,Hibernating
8977,51,3,24,3,1,1,Needs Attention
4756,42,24,1168,3,5,4,Needs Attention
3412,67,13,957,2,3,4,Can't Lose Them
606,87,3,15,1,1,1,Hibernating
5961,29,4,57,4,1,2,New / Promising
2975,89,22,1956,1,5,5,At Risk
2894,74,20,2013,2,5,5,At Risk
7613,97,12,326,1,3,3,Hibernating
10542,63,6,77,2,2,2,Hibernating
8015,88,19,1313,1,4,5,At Risk
10617,34,6,30,4,2,1,New / Promising
11166,81,12,315,1,3,3,Hibernating
849,65,18,660,2,4,4,At Risk
523,51,6,74,3,2,2,Needs Attention
4066,76,5,46,2,1,1,Hibernating
8414,76,6,86,2,2,2,Hibernating
819,84,24,1103,1,5,4,At Risk
4961,56,7,61,3,2,2,Needs Attention
749,31,7,145,4,2,2,New / Promising
5430,0,19,684,5,4,4,Champions
7755,91,14,411,1,3,3,Hibernating
10525,40,3,27,3,1,1,Needs Attention
1453,59,25,1060,2,5,4,At Risk
8310,96,21,1459,1,5,5,At Risk
10710,61,3,18,2,1,1,Hibernating
5031,14,25,1833,5,5,5,Champions
2613,16,10,237,5,3,3,Loyal
213,98,6,48,1,2,1,Hibernating
967,11,16,515,5,4,3,Loyal
1077,52,14,1020,3,3,4,Needs Attention
7959,19,10,1370,4,3,5,Loyal
640,61,23,1026,2,5,4,At Risk
4252,73,11,301,2,3,3,Hibernating
8432,0,19,684,5,4,4,Champions
6218,74,16,499,2,4,3,At Risk
6905,55,20,1004,3,5,4,Needs Attention
5922,48,10,218,3,3,3,Needs Attention
3598,53,18,606,3,4,3,Needs Attention
6116,13,5,75,5,1,2,New / Promising
6263,34,6,106,4,2,2,New / Promising
10486,54,16,990,3,4,4,Needs Attention
2410,69,15,1097,2,4,4,At Risk
193,81,3,16,1,1,1,Hibernating
3363,99,4,34,1,1,1,Hibernating
8278,3,15,1711,5,4,5,Champions
10660,61,14,438,2,3,3,Hibernating
8686,65,5,75,2,1,2,Hibernating
1604,93,10,225,1,3,3,Hibernating
5907,24,3,18,4,1,1,New / Promising
10669,8,15,470,5,4,3,Loyal
2918,72,6,91,2,2,2,Hibernating
5735,29,17,2525,4,4,5,Champions
359,33,16,504,4,4,3,Loyal
8387,68,10,235,2,3,3,Hibernating
1829,55,18,1232,3,4,5,Needs Attention
3839,76,7,88,2,2,2,Hibernating
9392,17,3,17,5,1,1,New / Promising
2292,94,4,24,1,1,1,Hibernating
10466,86,5,60,1,1,2,Hibernating
9855,25,25,1020,4,5,4,Champions
4088,22,8,155,4,2,2,New / Promising
5231,15,4,51,5,1,1,New / Promising
590,35,15,1812,4,4,5,Champions
8732,81,21,1461,1,5,5,At Risk
2315,55,5,96,3,1,2,Needs Attention
3515,94,8,160,1,2,2,Hibernating
2245,50,7,139,3,2,2,Needs Attention
6283,64,21,908,2,5,4,At Risk
2246,91,7,183,1,2,2,Hibernating
6606,11,17,1161,5,4,4,Champions
5545,72,13,988,2,3,4,Can't Lose Them
7342,6,24,1072,5,5,4,Champions
837,0,8,174,5,2,2,New / Promising
9500,66,19,758,2,4,4,At Risk
3602,42,9,195,3,3,3,Needs Attention
234,60,4,31,2,1,1,Hibernating
2995,64,16,1084,2,4,4,At Risk
1118,87,19,685,1,4,4,At Risk
7789,96,25,1672,1,5,5,At Risk
3068,1,5,43,5,2,1,New / Promising
8955,54,4,49,3,1,1,Needs Attention
945,53,7,133,3,2,2,Needs Attention
5644,96,13,363,1,3,3,Hibernating
7192,58,16,545,3,4,3,Needs Attention
2324,12,29,1065,5,5,4,Champions
697,78,20,2047,2,5,5,At Risk
3439,64,10,296,2,3,3,Hibernating
1506,26,7,140,4,2,2,New / Promising
232,8,16,530,5,4,3,Loyal
8876,49,8,152,3,2,2,Needs Attention
4500,56,23,1598,3,5,5,Needs Attention
9739,55,6,114,3,2,2,Needs Attention
10395,25,7,101,4,2,2,New / Promising
1176,50,3,25,3,1,1,Needs Attention
1627,84,21,789,1,5,4,At Risk
938,30,5,87,4,2,2,New / Promising
2740,81,7,90,1,2,2,Hibernating
257,74,18,1215,2,4,5,At Risk
4058,76,21,811,2,5,4,At Risk
7736,36,5,61,4,2,2,New / Promising
8210,64,13,405,2,3,3,Hibernating
833,62,6,72,2,2,2,Hibernating
6230,53,9,189,3,3,2,Needs Attention
7325,86,4,40,1,1,1,Hibernating
1307,15,7,63,5,2,2,New / Promising
1502,67,5,52,2,2,1,Hibernating
6211,47,4,39,3,1,1,Needs Attention
843,47,21,805,3,5,4,Needs Attention
4174,81,7,130,1,2,2,Hibernating
9757,98,23,1631,1,5,5,At Risk
6918,56,4,34,3,1,1,Needs Attention
286,48,8,152,3,2,2,Needs Attention
11086,18,4,21,5,1,1,New / Promising
1921,74,5,71,2,2,2,Hibernating
4138,68,22,899,2,5,4,At Risk
7718,36,9,711,4,3,4,Loyal
1291,90,12,351,1,3,3,Hibernating
6862,65,0,8,2,1,1,Hibernating
4136,63,7,119,2,2,2,Hibernating
803,82,3,21,1,1,1,Hibernating
4298,63,3,10,2,1,1,Hibernating
10833,55,24,973,3,5,4,Needs Attention
9606,64,12,1536,2,3,5,Can't Lose Them
8534,51,24,992,3,5,4,Needs Attention
5153,97,32,1529,1,5,5,At Risk
961,92,15,860,1,4,4,At Risk
5011,51,21,928,3,5,4,Needs Attention
6653,72,14,418,2,3,3,Hibernating
9094,39,14,587,4,3,3,Loyal
810,49,17,641,3,4,4,Needs Attention
5493,21,3,23,4,1,1,New / Promising
2147,91,22,2279,1,5,5,At Risk
5107,37,4,49,4,1,1,New / Promising
3979,98,16,1779,1,4,5,At Risk
6049,85,26,1804,1,5,5,At Risk
8147,40,5,48,3,2,1,Needs Attention
1857,2,5,83,5,2,2,New / Promising
3910,78,17,1862,2,4,5,At Risk
5207,41,19,793,3,4,4,Needs Attention
11114,94,6,84,1,2,2,Hibernating
5429,10,9,183,5,3,2,Loyal
9400,73,18,1383,2,4,5,At Risk
1740,22,14,999,4,3,4,Loyal
7488,30,21,825,4,5,4,Champions
195,21,10,246,4,3,3,Loyal
635,51,17,610,3,4,3,Needs Attention
7527,97,6,76,1,2,2,Hibernating
10319,56,18,1286,3,4,5,Needs Attention
2296,4,3,30,5,1,1,New / Promising
10637,77,6,99,2,2,2,Hibernating
2931,95,22,1192,1,5,5,At Risk
907,36,13,362,4,3,3,Loyal
3698,13,18,2130,5,4,5,Champions
9516,90,26,1229,1,5,5,At Risk
679,49,4,38,3,1,1,Needs Attention
7384,18,15,485,5,4,3,Loyal
5043,89,11,434,1,3,3,Hibernating
5267,43,4,44,3,1,1,Needs Attention
339,82,16,496,1,4,3,At Risk
2516,84,5,78,1,2,2,Hibernating
9010,80,22,2346,1,5,5,At Risk
378,68,19,794,2,4,4,At Risk
4808,12,3,17,5,1,1,New / Promising
5068,75,4,26,2,1,1,Hibernating
7628,10,6,76,5,2,2,New / Promising
7128,91,3,15,1,1,1,Hibernating
2811,21,5,62,4,2,2,New / Promising
3551,28,8,198,4,2,3,New / Promising
1663,97,4,49,1,1,1,Hibernating
5543,49,20,802,3,5,4,Needs Attention
1577,14,14,1736,5,3,5,Loyal
10641,5,6,57,5,2,2,New / Promising
5336,37,2,59,4,1,2,New / Promising
6024,62,18,2302,2,4,5,At Risk
1878,83,5,37,1,2,1,Hibernating
3099,48,11,310,3,3,3,Needs Attention
6055,94,18,1305,1,4,5,At Risk
5841,61,21,832,2,5,4,At Risk
3972,70,13,401,2,3,3,Hibernating
4394,43,22,1501,3,5,5,Needs Attention
5758,23,27,1189,4,5,5,Champions
6658,37,25,1194,4,5,5,Champions
4603,50,19,656,3,4,4,Needs Attention
8427,78,22,1540,2,5,5,At Risk
10260,74,12,311,2,3,3,Hibernating
7143,14,21,820,5,5,4,Champions
8789,77,11,274,2,3,3,Hibernating
6197,39,6,57,4,2,2,New / Promising
4554,89,13,448,1,3,3,Hibernating
4937,62,4,44,2,1,1,Hibernating
1920,59,6,102,2,2,2,Hibernating
8749,68,4,61,2,1,2,Hibernating
1650,13,26,1643,5,5,5,Champions
10377,37,12,397,4,3,3,Loyal
9206,36,24,1121,4,5,4,Champions
10971,28,12,473,4,3,3,Loyal
6398,2,6,50,5,2,1,New / Promising
9212,17,22,1678,5,5,5,Champions
7937,86,6,58,1,2,2,Hibernating
839,54,8,170,3,2,2,Needs Attention
4246,2,2,373,5,1,3,New / Promising
158,3,16,1196,5,4,5,Champions
4832,84,6,101,1,2,2,Hibernating
5621,8,12,316,5,3,3,Loyal
1945,4,18,1400,5,4,5,Champions
